description,edibility_binary
"Agaricus diminutivus Pk. Cap 1-4cm across, ovate then expanded-umbonate; pinky-buff, darker in the center, bruising yellowish; smooth to slightly fibrillose, dry; fibrils pinkish brown to purplish. Gills free; dull pink then brown. Stem 30-60 x 3-6mm, equal, often with basal bulb; white bruising yellowish; smooth to slightly floccose fibrillose below the ring; ring single, thin, white. Flesh thin; white. Odor pleasant. Taste pleasant. Spores broadly ellipsoid, 4.5-5.5 x 3.5-5�,. Deposit deep brown. Habitat scattered on soil and leaf litter. Found throughout northern North America. Season July-September. Probably edible but too small to eat.",poisonous
"Agaricus excellens (M�ller) M�ller syn. Psalliota excellens M�llerSeidenweisser Egerling Cap 10�15cm across, convex, white and silky, yellowing slightly at the centre especially with age, densely covered in minute fibrous scales of the same colour. Stem 100�140 x 20�35mm, white; ring thick and white, the underside scaly. Flesh thick, white, becoming more or less pink on cutting. Taste sweet and mushroomy, smell slightly of aniseed. Gills pale grey-pink. Cheilocystidia thin-walled, globose or ovate to broadly clavate, hyaline, 10�38 x 5�16�. Spore print brown. Spores elliptic, 9�12 x 5�7�. Habitat amongst grass in open woodland, especially spruce. Season autumn. Rare. Edible. Found In Europe.",edible
"Agaricus langei (M�ller) M�ller syn. Psalliota langei M�llerGrosser Waldegerling Hegyi csiperke Scaly Wood Mushroom Cap 4�12cm across, convex, densely covered in fine rust brown fibrous scales. Stem 30�120 x 15�30mm, whitish with pink tinge and slightly mealy beneath the white pendulous ring. Flesh white gradually becoming bright red on cutting. Taste and smell pleasant and mushroomy. Gills pale fawny-pink at first becoming darker with age. Cheilocysitidia numerous, thin-walled, tufted, ovate to broadly-clavate, hyaline or brownish, 20�50 x 10�30�. Spore print purple-brown. Spores elliptic, 7�9 x 3.5�5�. Habitat in coniferous or mixed woods. Season late summer to autumn. Occasional. Edible � good. Found In Europe.",edible
"Agaricus leucotrichus M�ller Cap 8-13cm across, ovate-campanulate, flattened at disc; white to pale straw yellow with age; silky, densely fibrillose-hairy with tiny erect, pointed scales. Gills free, crowded; white to pink then dark brown. Stem 80-120 x 15-25(30)mm, equal to clavate-swollen; white to buff; smooth above the ring, floccose tomentose below; ring white, thin, pendant, undersurface with small veil remnants. Flesh white, pinkish buff when old or bruised. Odor pleasant, almond-like. Taste pleasant, almond-like. Spores ellipsoid-ovoid, 6.5-7.5(8) x 4.5-5�. Deposit deep brown. Habitat in spruce woods. Found in Colorado. Season September. Edible. Comment This group of specimens agrees very well with the European description, except that the gills are rather more pink than recorded. Pending a better American name being found for this fungus, the European name is applied here. The second photograph was taken by Buck McAdoo in the USA.",edible
"Agaricus littoralis (Wak. & Pears.) Pilat. syn. A. spissicaulis. Strandegerling, Szeksz�rdi csiperke, nyomott-t�nk� csiperke. Cap 5-13cm across, convex at first but soon flattened and later with a central depression. Margin of cap often incurved and overhanging gills. White or greyish-white to pale brown, smooth or with faint, flattened, darker scales at centre, with small fragments of veil hanging at margin. Stem 25-70 x 12-20mm, whitish to pale buff, stout, swollen and slightly bulbous at base, slightly browning on handling, with a narrow, pendent white ring about half way up. Base of stem usually has distinct white �roots� or rhizomorphs. Flesh white with a brownish tint, thick in cap, faintly discolouring to pale orange-buff to pale reddish-brown when cut, smelling slightly of anise or almonds when fresh, later rather sour. Taste is pleasant and nutty. Gills free from stem, rather crowded and at first pale pinkish-brown then soon greyish-brown then dark brown. Spore print dark, chocolate brown. Spores ellipsoid, 6.5-8.5x5-6.5�, smooth. Gill edge appearing sterile but with sparse, swollen cystidia. Habitat solitary or in small groups in dry sandy pastures, coastal dunes, or even along roadsides. Season summer to late autumn. Uncommon to rare. Edible but poor. Distribution, North America, Europe and North Africa. The first picture was taken by Geoffrey Kibby.",edible
"Agaricus macrosporus (M�ller & Schaeff.) Pil�t syn. Psalliota subsp. macrospora M�ller & Schaeff. Grosssporiger Egerling Agaric � grande spores Nagysp�r�s csiperke. Cap 8�25(50)cm across, convex, whitish splitting into large ochraceous scales or patches and the margin becoming toothed with age. Stem 50�100 x 25�35mm, frequently with a fusiform rooting base, whitish cream covered in easily removable floccules; ring thick and scaly on the underside. Flesh firm and whitish, sometimes reddening in the stem on cutting. Taste mushroomy, smell faint of crushed almonds when young, rapidly smelling more ammoniacal. Gills whitish-grey at first, finally dark brown. Cheilocystidia numerous, ovate, 8�31 x 6�16�. Spore print brown. Spores ellipsoid, 8�12 x 5.5�6.5�. Habitat in rings in pastureland. Season summer to autumn. Occasional. Edible � good. Found In Europe.",edible
"Agaricus micromegethus Pk. Cap 2.5-6cm across, convex with flattened disc; cream with darker innate fibrils, fibers dull yellowish brown to brown, staining stronger yellow when bruised. Gills free; white to grayish then dark brown. Stem 25-50 x 6-l0mm, equal; white staining yellowish; smooth above the ring, slightly fibrillose below; ring thin, single, often vanishing, white. Flesh white, discoloring yellowish. Odor pleasant. Taste pleasant. Spores ovoid to ellipsoid, 4.5-5.5 x 3.5-4�. Deposit dark brown. Habitat in open pastures and meadows. Frequent. Found east of the Great Plains. Season July-September. Edible. Comment The collection illustrated was found in mixed woodlands in Oregon.",edible
"Agaricus pilatianus Bohus syn. A. xanthodermus var. pilatianus BohusWeissgrauer Karbolegerling Fenolszag� (kr�ms�rga) csiperke. Cap 6�12cm across, obtusely convex, white at first becoming smoky- or greyish-brown, bruising yellow when young. Stem 40�80 x 15�30mm, cylindrical, slightly clavate or tapering at the base, white becoming tinged ochraceous to brownish; ring white, double. Flesh white, staining yellow in the stem base. Taste strong and unpleasant, smell unpleasant, strongly of carbolic. Gills white at first then pink, finally chocolate brown. Cheilocystidia clavate to broadly clavate, 22�30 x 11�13.5�. Spore print brown. Spores broadly ovate, 5.5-6.5 x 4.3-5.3�. Habitat in short grass in gardens or on lawns. Season autumn. Rare. Poisonous. Found In Europe.",poisonous
"Agaricus pocillator Murr. Cap 3-10cm across, convex to flattened at disc; white with minute blackish-gray scales, darker at disc. Gills free; white to pinkish then dark brown. Stem 40-80 x 6-12mm, equal with a distinct, often marginate, small bulb at base; white; smooth above and below ring; ring large, of two distinct layers, membranous. Flesh white, yellowing slightly in stem base. Odor not distinctive. Taste not distinctive. Spores ellipsoid, 4.5-6 x 3-3.8�. Deposit deep brown. Habitat often in large numbers in mixed woods. Found in southeastern and eastern North America. Season July-August. Not edible.",poisonous
"Agaricus porphyrizon (Cke.) Orton Lil�sv�r�s csiperke. Cap 4-10cm across, convex; whitish with purplish-lilac adpressed scales and fibrils, darker at center, bruising dull yellow; smooth. Gills free, crowded; white to pinkish then brown. Stem 50-100 x 12-20mm, clavate; white, staining yellow when touched; smooth; ring membranous, thin, simple. Flesh white staining yellowish in stem, especially at base. Odor pleasant, of almonds. Taste pleasant, of almonds. Spores ovoid, 4.5-5.6 x 3.2-3.8�. Deposit deep brown. Habitat in mixed woodlands, mostly conifers. Found in Colorado. Season September. Edible. Comment This species does not satisfactorily fit any current American taxa but does agree very well with the European name given here, particularly in the very narrow spores.",poisonous
"Agaricus porphyrocephalus M�ller syn. Psalliota porphyrea M�llerRotbrauner Egerling Cap 3�8cm across, hemispherical to flat, brown, with darker radiating fibrils. Stem 30�40 x 10�20mm, white, slightly tapering towards the base or sometimes slightly swollen and bulbous; ring thin and white. Flesh white to pale flesh-coloured. Taste and smell mushroomy. Gills pink at first, later chocolate brown. Cheilocystidia absent. Spore print brown. Spores 5�7�3�4.5m. Habitat lawns or pastures. Season autumn. Rare. Edibility suspect -avoid. Found In Europe.",poisonous
"Agaricus praeclaresquamosus Freeman syn. Agaricus meleagris of many American authors Cap 5-20cm across, convex with flattened disc; with gray to gray-brown or blackish flattened scales on a white background; dry. Gills free, crowded; white to grayish then deep brown. Stem 80-150 x 10-30mm, equal to clavate; white, often discoloring reddish brown; smooth; ring white, thick, felt-like, membranous, very persistent. Flesh firm; white, bruising bright yellow in the extreme base of the stem, finally reddish brown. Odor unpleasant, phenolic, ink-like, especially when flesh is crushed or cooked. Taste similar. Spores ovoid, 4-6.5 x 3-3.5(4)�. Deposit deep brown. Habitat under mixed woods, along roads and paths. Frequent. Found throughout western North America. Season September-December. Not edible- poisonous to many. Comment The name meleagris cannot be used for this since another fungus-formerly placed in Agaricus- was given this name earlier. The third and fourth photographs were taken by Buck McAdoo in the USA.",poisonous
"Agaricus semotus Fr. syn. A. comtulus var. amethystinus (Qu�l.) Konrad & Maubl. syn. Psalliota amethystina (Qu�l.) LangeApr� csiperke Weinr�tlicher Zwergegerling Rosy Wood Mushroom Cap 2�5cm across, obtusely ovoid expanding flattened-convex, white at first soon covered in small lilaceous scales at the centre with vinaceous fibres radiating out towards the white margin, finally yellowing to a dirty brownish. Stem 30�60 x 4�8mm, white but yellowing at the bulbous base; ring double, pendulous. Flesh white, staining yellow in stem base. Taste and smell not distinctive. Gills very pale at first then pinkish, finally grey-brown. Cheilocystidia numerous, thin-walled, ovate to broadly clavate, hyaline or brownish, 12�26 x 4�14�. Spore print brown. Spores elliptic, 4.5�5 x 2.5�3�. Habitat in clearings and on the edges of deciduous and coniferous woods. Season summer to autumn. Rare. Poisonous to some people; best avoided. Found In Europe.",poisonous
"Agaricus silvicola (Vitt.) Peck. Wood Mushroom, Agaric des bois, D�nnfleischiger Anisegerling, Agarico di boschi, Slanke anijchamignon, Karcs� csiperke. Cap 5�10cm across, convex, cream, readily bruising ochraceous and becoming more yellow with age. Stem 50�80 x 10�15mm, concolorous with the cap, base usually bulbous; ring large and pendulous, upper surface white, lower drab. Flesh thin, white. Taste mushroomy, smell of aniseed. Gills free, pale greyish-pink at first later chocolate brown. Cheilocystidia numerous, thin-walled, oval to subglobose, hyaline, 10�20 x 7�20�. Spore print purple-brown. Spores ellipsoid 5�6 x 3�4�. Habitat in coniferous and deciduous woods. Season autumn. Occasional. Edible � good. Distribution, America and Europe.",edible
"Agaricus subrutilescens (Kauffman) Hot. & Stuntz Cap 5-13cm across, convex; whitish; fibrillose-striate, to slightly scaly; fibers deep vinaceous brown. Gills free, crowded, narrow; whitish pink then deep brown. Stem 60-150 x 10-25mm, clavate; whitish; smooth above the ring, with white to vinaceous veil remnants below, often in bands; ring large, thin, woolly below, high on stem. Flesh white. Odor pleasant. Taste pleasant. Spores ellipsoid, 4.5-6 x 3-4�. Deposit deep brown. Habitat in mixed woods. Found on the West Coast of north America. Season August-December. Edible. The third photograph was taken by Buck McAdoo in the USA. Dan Manders wrote:I eat it whenever I find it, it's quite good. It's listed in David Arora's book as being a good edible, though less meaty than most other Agaricus, which I've found to be true as well. In Oregon I find it mostly on slopes in mixed company with sword ferns & Oregon grape.",edible
"Agaricus vaporarius (Vitt.) Mos. syn. Psalliota vaporaria (Vitt.) M�ller & Schaeff. Garten-Egerling Agaric de Bernard, Psalliote de Bernard, Komposztcsiperke, �ves csiperke, Clustered Mushroom. Cap 10�15cm across, subglobose at first expanding to flattened convex, dirty brown soon breaking up into large scales. Stem 60�120 x 25�50mm, tapering at the base which is deeply buried in the soil, white and smooth although initially with brown fibrous scales; ring thick and white, pendulous. Flesh white, reddening only slightly on cutting. Taste nutty, smell mushroomy. Gills pale pink at first later chocolate brown. Cheilocystidia numerous, thin-walled, clavate, hyaline, 18�28 x 4�10�. Spore print brown. Spores subglobose, 6�7�4.5�6m. Habitat gardens and deciduous woods often developing below ground and pushing up through the soil as it expands. Season autumn. Rare. Edibility suspect -avoid. Found In Europe.",poisonous
"Agaricus xanthodermus Genevier syn. Psalliota xanthoderma (Genevier) Richon & Roze. Yellow Stainer, Agaric jaunissant, Giftchampignon, Agarico giallescente, Karbolchampignon, S�rgul� csiperke, karbolszag� csiperke. Cap 5�15cm across, subspherical with the top flattened later expanded convex, white at first later often with tiny indistinct greyish-brown scales and bruising bright chrome-yellow, especially towards the margin. Stem 50�150 x 10�20mm, white, bulbous at the base; ring white with a thickened edge which can cause it to appear double. Flesh white, staining chrome-yellow in the stem base. Taste slightly unpleasant, smell slightly of ink. Gills white at first then pale pink, finally grey-brown. Cheilocystidia thin-walled, sub-globose or ovate, hyaline, 10�20 x 8�14�. Spore print purple-brown. Spores ellipsoid, 5�6.5 x 3�4�. Habitat in woods, meadows and gardens. Season summer to autumn. Occasional. Poisonous. The symptoms are sweating, flushing and severe stomach cramps, but only some people are affected. Distribution, America and Europe.",poisonous
"Agrocybe acericola (Pk.) Singer Cap 3-10m across, convex then flattened; dark yellow-brown then pale buff when dry; smooth, dry, hygrophanous. Gills adnate or with decurrent tooth, crowded; pale gray-brown. Stem 50-100 x 5-l0mm; pallid buff or whitish, with white threads at base; ring large, flaring, white. Flesh thin; white. Odor farinaceous. Taste farinaceous. Spores truncate, smooth, 8-10.5 x 5-6.5�. Deposit dull rust-brown. Habitat on decaying logs and woody debris in hardwoods. Common. Found throughout North America. Season July-September. Not edible.",poisonous
"Agrocybe cylindracea (DC. ex Fr.) Maire syn. Pholiota aegerita (Brig.) Qu�l. Pappel-Sch�ppling, D�li t�kegomba, d�li r�tgomba, Albarelle, Pholiote du peuplier Poplar Fieldcap Cap 4�10cm across, hemispherical convex becoming flattened and sometimes cracked at centre and often wavy near the margin, pale buff to almost white with rust flush at centre when young becoming darker brown with age. Stem 50�100 x 10�15mm, cream at first, darker brown with age, with persistent ring which soon becomes dusted brown by the spores. Flesh white in the cap and stem, brown in the stem base. Taste nutty, smell of old wine casks. Gills adnate or slightly decurrent, cream at first then tobacco brown due to the spores. Spore print tobacco brown. Spores ovoid-ellipsoid, 8.5�10.5 x 5�6�. Cap cuticle cellular. Habitat in tufts wood especially willows and poplars. Season all year round. Rare. Edible. Found In Europe.",edible
"Agrocybe dura (Bolt. ex Fr.) Sing. syn. Pholiota dura (Bolt. ex Fr.) Kummer, Rissiger Ackerling, Kerti r�tgomba, Pholiote dure, Bearded Fieldcap Cap 3�7cm across, convex expanding to almost flat, ivory white to yellowish cream. Stem 50�80 x 3�7mm, whitish with cottony ring near apex. Flesh thick, firm, whitish. Taste slightly bitter, smell mushroomy. Gills adnate, pale at first then darker clay. Spore print light cigar brown. Spores ovoid-ellipsoid, 12�13 x 6�7.5�. Cap cuticle cellular. Habitat singly in grass at roadsides or in meadows. Season spring to late summer. Occasional. Edible � poor. Distribution, Distribution, America and Europe.",poisonous
"Agrocybe erebia (Fr.) K�hn. syn. Pholiota erebia (Fr.) GilletLederbrauner Erdsch�ppling S�t�t r�tgomba Dark Fieldcap. Cap 3�6cm across, convex becoming flattened with a broad umbo, the margin wavy in older specimens, dull clay-brown when dry, darker and slightly viscid when moist. Stem 60�80 x 8�12mm, whitish at first gradually darkening brown from base upwards, with whitish grooved ring. Flesh pale brownish. Gills pale at first then dark umber brown. Spore print very dark brown. Spores ellipsoid, 10�13 x 5�6�. Cap cuticle cellular. Habitat on bare soil or in leaf litter in deciduous woods. Season autumn. Frequent. Not edible � easily confused with poisonous species. Distribution, America and Europe.",poisonous
"Agrocybe paludosa (Lange) K�hn. & Romagn. syn. Pholiota praecox var. paludosa LangeSumpf-Ackerling Pholiote des marais Cap 1.5�3cm across, convex then flattened with broad umbo, dirty cream to pale tan, especially at the centre. Stem 40�70 x 2�3mm, cream flushed with cap colour, ring near apex, rather broad and fragile. Flesh thin, whitish in cap, brownish in stem. Smell of meal. Gills adnate, pale at first then darker brown. Spore print light cigar-brown. Spores ovoid-ellipsoid, 9�10 x 5�5.5�. Cap cuticle cellular. Habitat in marshy meadows. Season late spring in summer. Rare. Not edible. Distribution, America and Europe.",poisonous
Calocera furcata (Fr.) Fries A Dacrymcete Found growing on dead conifer wood.Fruit bodies small bright yellow stags horns with distinctive forked tips which separates it from Calocera cornea. Many thanks to Miroslaw Wantoch-Rekowski who sent me these photographs.,poisonous
"Calocera glossoides (Pers. ex Fr.) Fr. syn. Dacryomitra glossoides (Pers.) Bref. Zungen-H�rnling. Fruit body 3�10mm high, yellow, conical to club-shaped and often compressed or longitudinally wrinkled with a short distinct stem which becomes dark blackish-brown or drying. Flesh firm gelatinous, yellow. Spores white, narrowly elliptical to subcylindric or sausage-shaped, 12�14(17) x 3�5�, becoming three-septate at maturity. Basidia shaped like tuning-forks. Habitat on dead branches or stumps of oak. Season early autumn to early winter. Uncommon. Not edible. Found In Europe.",poisonous
"Calocera viscosa (Pers : Fr) FrYellow Antlers, Narancssz�n� enyves-korallgomba, Serbian name: NARAND�ASTA ROGATICAFruiting body: upto do 10cm height, branched (similar to the genus Clavaria), somewhat slime surface, nice orange colour. The base extends (continues) as a root in the substrate.Microscopy: spores eliptic elongated, flat on one side, smooth, hyaline, unamyloid, with two oily droplets, 8-12x3-4,5�m, often when mature get one sept. Basidia shape of a tuning fork with 2 spores.Flesh: gelatinous, hard, orange, without any particular smell or taste.Habitat: grows on moist places under conifer tree from litter or from wood.Edibility: not edibleThe description and the identification by Branislav Uzelac, photographs by Goran Milo�evi�. Note the last picture has come in from Lynn Pepper.",poisonous
"Calocybe carnea (Bull. ex Fr.) K�hn. syn. Tricholoma carneum (Bull. ex Fr.) Kummer syn. Lyophyllum carneum (Bull. ex Fr.) K�hn. & Romagn. Fleischfarbener Rasling Pink Domecap. Cap 1.5�4cm across, flattened convex, distinctive flesh-pink colour flushed brown at the centre. Stem 20�40�3�7mm, concolorous with cap. Flesh whitish. Taste and smell not distinctive. Gills white. Spore print white. Spores elliptical, 4.5�5.5 x 2.5�3�. Habitat in grassland, often in small clumps. Season late summer to autumn. Occasional. Edible. (Never eat any mushroom until you are certain it is edible as many are poisonous and some are deadly poisonous.) Distribution, America and Europe.",edible
"Caloscypha fulgens (Pers. ex Fr.) Bond. Cup 1-5cm wide, irregularly cup-shaped; inner surface deep yellow staining blue-green and drying orange, outer surface blue to greenish blue. No stem. Asci 8-spored, 150 x 10�. Spores globose, smooth, 5-7 x 5-7�. Habitat singly to clustered in wet, boggy places in mountainous coniferous areas. Sometimes common. Found in northern North America and California and Europe. Season April-July. Not edible.",poisonous
"Stalked Puffball-in-aspic Calostoma cinnabarina Desv.Stalked Puffball-in-aspic. Fruit body a round, bright red spore sac, covered with a thick clear jelly and raised up on a spongy red stem. Spore sac has an outer wall which splits apart, leaving bright red fragments in the jelly at the base of the fungus; the inner spore sac is pale yellow dusted with a bright red powdery coating, 1-2cm across with a bright cinnabar-red apical opening in the shape of a cross. Protruding from the ground at first, it will slowly be raised up on a sponge-like short stem, 15-30 x 10-15mm, pale cinnabar red. Spores elliptical, pitted, creamy yellow, 14-20 x 6-9�. Habitat on soil, especially stream banks, pathsides. Found throughout eastern and southeastern North America. Season April-May, September-October. Edibility not known. Comment This remarkable species is very easily distinguished, looking rather like a small red tomato surrounded by jelly and red pips.",poisonous
"Purple-spored Puffball Calvatia cyathiformis (Bosc) Morgan Purple-spored Puffball. Fruit body 5-16cm across, 5-11 (15)cm high, hemispherical with a rudimentary stem, forcing up through turf; pallid to dirty tan or brownish with age; smooth at first, then soon cracking into smaller areas to give a tesselated effect; breaking up to reveal spore mass (gleba) in a persistent cuplike base. Spore mass of cottony consistency; white at first, then soon deep lilac to dark purple-brown. Spores globose, with distinct spines, 3.5-7.5 x 3.5-7.5�. Habitat in open fields and lawns. Common. Found widespread in eastern North America and the Great Plains. Season July-November. Edible when young; good. Comment The large violet-brown cuplike base left after the spores are dispersed can often be found through the winter.",edible
